Species;Temp(degC);Int(mmol);Slope(b);MinMb(g);MaxMb(g);MedMb(g);VO2(MedMb);VO2(47g);;SMR(MedMb)mW
Saratherodon mossambicus;32;-3.662;0.678;10.0;150.0;80;0.501;0.349;;60.42329727
Saratherodon mossambicus;34;-3.548;0.663;10.0;150.0;80;0.526;0.370;;63.39369113
Saratherodon mossambicus;37;-3.302;0.637;10.0;150.0;80;0.600;0.428;;72.35334278
Synaptura sp;28;-4.482;0.682;2.5;80.0;41.25;0.143;0.156;;17.23793964
Tilapia mossambica;15;-4.488;0.633;5.0;80.0;42.5;0.121;0.129;;14.55030156
Tilapia mossambica;20;-4.035;0.693;5.0;80.0;42.5;0.238;0.255;;28.66901759
Tilapia mossambica;25;-3.639;0.718;5.0;80.0;42.5;0.388;0.417;;46.80006145
Tilapia mossambica;30;-3.287;0.722;5.0;80.0;42.5;0.561;0.603;;67.5871234
Tilapia mossambica;35;-3.267;0.818;5.0;80.0;42.5;0.818;0.889;;98.6723754
Tilapia mossambica;40;-3.314;0.818;5.0;80.0;42.5;0.781;0.848;;94.16278339
Tilapia nilotica;25;-3.944;0.839;47.0;137.0;92;0.858;0.489;;103.4843518
Trematomus hansoni;3;-5.706;0.693;0.1;90.0;45.035;0.047;0.048;;5.615373322
