"","X","SpecCode","Brack","Saltwater","DemersPelag","Species","Genus","Subfamily","Family","Order","Class","SuperClass","c_m","eps_m"
"115",115,63767,0,1,"pelagic","Acanthopagrus chinshira","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes",NA,NA
"116",116,67331,1,1,"demersal","Acanthopagrus datnia","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes",NA,NA
"117",117,6356,1,1,"demersal","Acanthopagrus latus","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes",NA,NA
"118",118,67330,0,1,"pelagic","Acanthopagrus morrisonae","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes",NA,NA
"119",119,65370,0,1,"demersal","Acanthopagrus omanensis","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes",NA,NA
"120",120,65896,1,1,"pelagic","Acanthopagrus pacificus","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes",NA,NA
"121",121,8110,1,1,"benthopelagic","Acanthopagrus palmaris","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes",NA,NA
"122",122,65100,0,1,"benthopelagic","Acanthopagrus randalli","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes",NA,NA
"123",123,6531,1,1,"demersal","Acanthopagrus schlegelii","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes",NA,NA
"124",124,67333,0,1,"demersal","Acanthopagrus sheim","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes",NA,NA
"125",125,6583,1,1,"demersal","Acanthopagrus sivicolus","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes",NA,NA
"126",126,63153,0,1,"demersal","Acanthopagrus taiwanensis","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes",NA,NA
