"","SpecCode","Genus","Subfamily","Brack","Saltwater","DemersPelag","Species","Family","Order","Class","SuperClass"
"94",54894,"Acanthodraco","Gymnodraconinae",0,1,"demersal","Acanthodraco dewitti","Bathydraconidae","Perciformes","Teleostei","Osteichthyes"
"95",67583,"Acanthogobius","Gobionellinae",0,1,"pelagic","Acanthogobius elongatus","Gobiidae","Gobiiformes","Teleostei","Osteichthyes"
"96",67376,"Acanthogobius","Gobionellinae",0,1,"pelagic","Acanthogobius insularis","Gobiidae","Gobiiformes","Teleostei","Osteichthyes"
"97",69021,"Acanthogobius","Gobionellinae",0,1,"demersal","Acanthogobius stigmothonus","Gobiidae","Gobiiformes","Teleostei","Osteichthyes"
"98",7633,"Acantholabrus",NA,0,1,"benthopelagic","Acantholabrus palloni","Labridae","Eupercaria","Teleostei","Osteichthyes"
"99",51500,"Acantholiparis",NA,0,1,"pelagic","Acantholiparis caecus","Liparidae","Perciformes","Teleostei","Osteichthyes"
"100",25262,"Acantholiparis",NA,0,1,"demersal","Acantholiparis opercularis","Liparidae","Perciformes","Teleostei","Osteichthyes"
"101",3771,"Acantholumpenus",NA,1,1,"demersal","Acantholumpenus mackayi","Lumpenidae","Perciformes","Teleostei","Osteichthyes"
"102",8943,"Acanthonus","Neobythitinae",0,1,"pelagic","Acanthonus armatus","Ophidiidae","Ophidiiformes","Teleostei","Osteichthyes"
"103",63150,"Acanthopagrus",NA,0,1,"demersal","Acanthopagrus akazakii","Sparidae","Eupercaria","Teleostei","Osteichthyes"
"104",67314,"Acanthopagrus",NA,0,1,"pelagic","Acanthopagrus arabicus","Sparidae","Eupercaria","Teleostei","Osteichthyes"
"105",8109,"Acanthopagrus",NA,1,1,"demersal","Acanthopagrus australis","Sparidae","Eupercaria","Teleostei","Osteichthyes"
"106",4543,"Acanthopagrus",NA,1,1,"benthopelagic","Acanthopagrus bifasciatus","Sparidae","Eupercaria","Teleostei","Osteichthyes"
"107",67289,"Acanthopagrus",NA,1,1,"benthopelagic","Acanthopagrus catenula","Sparidae","Eupercaria","Teleostei","Osteichthyes"
"108",63767,"Acanthopagrus",NA,0,1,"pelagic","Acanthopagrus chinshira","Sparidae","Eupercaria","Teleostei","Osteichthyes"
"109",67330,"Acanthopagrus",NA,0,1,"pelagic","Acanthopagrus morrisonae","Sparidae","Eupercaria","Teleostei","Osteichthyes"
"110",65370,"Acanthopagrus",NA,0,1,"demersal","Acanthopagrus omanensis","Sparidae","Eupercaria","Teleostei","Osteichthyes"
"111",65896,"Acanthopagrus",NA,1,1,"pelagic","Acanthopagrus pacificus","Sparidae","Eupercaria","Teleostei","Osteichthyes"
"112",8110,"Acanthopagrus",NA,1,1,"benthopelagic","Acanthopagrus palmaris","Sparidae","Eupercaria","Teleostei","Osteichthyes"
"113",65100,"Acanthopagrus",NA,0,1,"benthopelagic","Acanthopagrus randalli","Sparidae","Eupercaria","Teleostei","Osteichthyes"
"114",6531,"Acanthopagrus",NA,1,1,"demersal","Acanthopagrus schlegelii","Sparidae","Eupercaria","Teleostei","Osteichthyes"
"115",67333,"Acanthopagrus",NA,0,1,"demersal","Acanthopagrus sheim","Sparidae","Eupercaria","Teleostei","Osteichthyes"
"116",6583,"Acanthopagrus",NA,1,1,"demersal","Acanthopagrus sivicolus","Sparidae","Eupercaria","Teleostei","Osteichthyes"
"117",63153,"Acanthopagrus",NA,0,1,"demersal","Acanthopagrus taiwanensis","Sparidae","Eupercaria","Teleostei","Osteichthyes"
