"","Ref","OxygenCons","Weight","Temperature","SpecCode","MetabolicLevel","AppliedStress","OxygenRefNo","Genus","Subfamily","Brack","Saltwater","DemersPelag","Species","Family","Order","Class","SuperClass"
"62","fishbase",3.4854,0.0111,28,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"63","fishbase",4.9042,0.0113,32,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"64","fishbase",2.2446,0.0129,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"65","fishbase",5.5704,0.0132,32,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"66","fishbase",1.1781,0.0165,16,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"67","fishbase",1.881,0.0171,19,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"68","fishbase",3.0102,0.0173,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"69","fishbase",4.0482,0.0173,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"70","fishbase",8.58,0.02,30,3,"routine","none specified",2203,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"71","fishbase",12,0.02,30,3,"routine","none specified",2203,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"72","fishbase",4.1989,0.0211,25,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"73","fishbase",2.7104,0.0224,22,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"74","fishbase",7.3248,0.0224,32,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"75","fishbase",6.102,0.0226,28,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"76","fishbase",7.5696,0.0228,32,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"77","fishbase",6.2094,0.0237,28,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"78","fishbase",1.86181,0.0239,16,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"79","fishbase",2.2608,0.024,19,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"80","fishbase",4.029,0.0255,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"81","fishbase",8.13,0.0271,32,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"82","fishbase",2.00322,0.0279,16,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"83","fishbase",2.58912,0.0288,19,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"84","fishbase",7.9212,0.0322,28,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"85","fishbase",5.2788,0.0332,25,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"86","fishbase",1.8157,0.0335,16,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"87","fishbase",2.40195,0.0335,19,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"88","fishbase",4.087,0.0335,22,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"89","fishbase",3.7065,0.0353,30,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
